Time,GMSL (mm),GMSL uncertainty (mm)
2012.42,1.59E+01,3.32E+00
2012.50,1.46E+01,3.29E+00
2012.58,1.53E+01,3.29E+00
2012.67,1.57E+01,3.26E+00
2012.75,1.64E+01,3.20E+00
2012.83,1.70E+01,3.21E+00
2012.92,1.90E+01,3.21E+00
2013.00,1.75E+01,3.15E+00
2013.08,1.77E+01,3.13E+00
2013.17,1.91E+01,3.11E+00
2013.25,1.79E+01,3.10E+00
2013.33,1.64E+01,3.09E+00
2013.42,1.57E+01,3.08E+00
2013.50,1.67E+01,3.08E+00
2013.58,1.80E+01,3.06E+00
2013.67,1.94E+01,3.04E+00
2013.75,1.90E+01,3.03E+00
2013.83,1.71E+01,3.02E+00
2013.92,1.87E+01,3.06E+00
2014.00,2.03E+01,3.06E+00
2014.08,2.11E+01,3.05E+00
2014.17,1.96E+01,3.05E+00
2014.25,2.11E+01,3.05E+00
2014.33,2.10E+01,3.05E+00
2014.42,2.29E+01,3.05E+00
2014.50,2.26E+01,3.05E+00
2014.58,2.21E+01,3.03E+00
2014.67,2.29E+01,3.03E+00
2014.75,2.45E+01,3.04E+00
2014.83,2.23E+01,3.07E+00
2014.92,2.44E+01,3.14E+00
2015.00,2.42E+01,3.15E+00
2015.08,2.39E+01,3.15E+00
2015.17,2.46E+01,3.17E+00
2015.25,2.49E+01,3.19E+00
2015.33,2.79E+01,3.20E+00
2015.42,2.73E+01,3.22E+00
2015.50,2.89E+01,3.23E+00
2015.58,2.86E+01,3.23E+00
2015.67,2.95E+01,3.25E+00
2015.75,2.91E+01,3.27E+00
2015.83,2.76E+01,3.29E+00
2015.92,2.90E+01,3.31E+00
